NExScI Disposition,KOI Name,Kepler Name,Planet Radius,Stellar Radius,Metallicity,Stellar Mass
FALSE POSITIVE,K06465.01,,1.010,0.922,0.070,1.036
FALSE POSITIVE,K06466.01,,2.120,3.605,0.120,1.621
FALSE POSITIVE,K03944.01,,77.830,2.978,-0.260,1.408
FALSE POSITIVE,K06467.01,,51.970,0.737,0.240,0.727
FALSE POSITIVE,K04717.01,,3.610,1.155,0.140,0.969
FALSE POSITIVE,K06468.01,,45.910,0.749,-0.120,0.724
FALSE POSITIVE,K03175.01,,63.060,1.229,-0.020,1.025
FALSE POSITIVE,K06469.01,,74.500,1.345,-0.240,0.898
CANDIDATE,K05098.01,,1.570,0.800,0.000,0.825
FALSE POSITIVE,K05997.01,,26.080,1.119,-0.100,1.109
FALSE POSITIVE,K01775.01,,3.980,1.330,-0.080,1.209
CONFIRMED,K00818.01,Kepler-691 b,2.100,0.517,0.280,0.553
FALSE POSITIVE,K05100.01,,36.310,1.324,-0.360,1.121
CONFIRMED,K00108.01,Kepler-103 b,3.330,1.433,0.080,1.068
CONFIRMED,K00108.02,Kepler-103 c,5.470,1.433,0.080,1.068
CONFIRMED,K02635.01,Kepler-1300 b,2.040,2.164,-0.120,1.219
FALSE POSITIVE,K06470.01,,1.880,0.840,0.060,0.869
FALSE POSITIVE,K06471.01,,0.850,0.550,-0.100,0.559
CONFIRMED,K02617.01,Kepler-1291 b,1.430,0.764,-0.180,0.857
FALSE POSITIVE,K06472.01,,10.230,13.499,-0.440,1.935
CONFIRMED,K01973.01,Kepler-1032 b,1.490,0.594,-0.560,0.580
CANDIDATE,K05104.01,,1.630,1.012,0.070,1.117
CANDIDATE,K01582.01,,11.320,1.370,0.180,0.926
CANDIDATE,K04766.01,,1.120,0.859,0.200,0.810
FALSE POSITIVE,K01663.01,,3.120,1.052,-0.060,1.111
FALSE POSITIVE,K03212.01,,0.730,2.485,0.070,2.100
FALSE POSITIVE,K01664.01,,50.330,1.035,-0.080,1.096
FALSE POSITIVE,K04018.01,,1.870,1.046,-0.280,0.855
FALSE POSITIVE,K06473.01,,146.330,2.747,-0.140,1.540
FALSE POSITIVE,K00819.01,,27.500,0.932,0.360,1.051
CONFIRMED,K01665.01,Kepler-923 b,1.700,1.304,0.000,1.010
FALSE POSITIVE,K03453.01,,31.250,1.138,-0.100,1.169
FALSE POSITIVE,K06474.01,,96.620,1.722,0.080,1.587
FALSE POSITIVE,K06122.01,,1.270,0.926,-0.440,0.770
CANDIDATE,K02962.01,,0.930,1.045,-0.020,1.109
FALSE POSITIVE,K03743.01,,54.530,1.000,0.000,1.000
FALSE POSITIVE,K00820.01,,30.090,0.826,-1.660,0.786
FALSE POSITIVE,K03290.01,,29.600,0.837,-1.920,0.728
FALSE POSITIVE,K03715.01,,63.420,1.310,-0.440,1.198
CANDIDATE,K06475.01,,1.540,0.714,0.360,0.709
CONFIRMED,K01873.01,Kepler-328 c,4.940,1.069,0.070,1.161
CONFIRMED,K01873.02,Kepler-328 b,2.390,1.069,0.070,1.161
CANDIDATE,K02899.01,,1.540,0.860,0.070,0.977
FALSE POSITIVE,K06476.01,,35.680,0.743,-0.380,0.825
CANDIDATE,K07711.01,,1.310,0.797,-0.380,0.865
FALSE POSITIVE,K01561.01,,6.280,0.866,-0.600,0.825
FALSE POSITIVE,K05108.01,,3.060,1.143,-0.020,1.022
CANDIDATE,K04377.01,,2.490,2.004,0.000,1.536
CANDIDATE,K01936.01,,1.270,2.245,-0.620,1.789
FALSE POSITIVE,K04658.01,,1.900,3.339,-0.060,2.060
FALSE POSITIVE,K05109.01,,1.690,1.987,0.340,1.213
FALSE POSITIVE,K04088.01,,49.370,1.166,-0.180,1.119
FALSE POSITIVE,K06477.01,,82.420,2.389,-0.120,1.301
FALSE POSITIVE,K03936.01,,2.980,0.844,0.220,0.844
CANDIDATE,K03936.02,,2.080,0.844,0.220,0.844
FALSE POSITIVE,K06478.01,,41.380,0.863,-0.220,0.954
FALSE POSITIVE,K03272.01,,20.810,0.959,-0.200,0.936
FALSE POSITIVE,K06479.01,,38.210,0.747,-0.500,0.849
FALSE POSITIVE,K06481.01,,49.630,1.153,-0.120,1.178
FALSE POSITIVE,K03852.01,,31.390,0.817,-0.160,0.913
FALSE POSITIVE,K00404.01,,34.820,0.863,-0.280,0.953
FALSE POSITIVE,K01753.01,,1.640,0.745,-0.400,0.833
FALSE POSITIVE,K06483.01,,112.240,1.862,-0.120,1.214
FALSE POSITIVE,K02258.01,,1.700,1.058,-0.040,1.117
CANDIDATE,K00501.01,,2.700,1.141,0.160,1.020
FALSE POSITIVE,K02818.01,,3.370,1.714,-0.140,1.545
FALSE POSITIVE,K04676.02,,44.770,2.407,0.180,1.378
FALSE POSITIVE,K05110.01,,8.160,4.383,-0.040,1.094
CONFIRMED,K01923.01,Kepler-1017 b,1.780,0.850,0.000,0.879
FALSE POSITIVE,K06123.01,,32.700,0.988,-0.580,0.781
CONFIRMED,K02951.01,Kepler-1393 b,0.670,0.873,-0.180,0.850
CANDIDATE,K07712.01,,1.060,2.247,-0.380,0.877
FALSE POSITIVE,K05111.01,,38.710,1.302,-0.260,0.926
FALSE POSITIVE,K06485.01,,,,,
FALSE POSITIVE,K00405.01,,15.800,0.896,-0.100,0.889
CANDIDATE,K04524.01,,1.530,1.006,0.160,1.003
CANDIDATE,K04524.02,,1.020,1.006,0.160,1.003
CANDIDATE,K04524.03,,1.200,1.006,0.160,1.003
FALSE POSITIVE,K03421.01,,1.700,1.369,0.140,1.247
CANDIDATE,K02237.01,,2.810,1.190,0.160,0.946
FALSE POSITIVE,K05112.01,,,,,
CONFIRMED,K02406.01,Kepler-1225 b,3.760,2.476,-0.260,1.243
CANDIDATE,K03770.01,,7.310,1.236,0.160,1.257
FALSE POSITIVE,K01666.01,,1.780,1.193,0.070,1.260
FALSE POSITIVE,K01605.01,,24.030,1.170,0.060,1.053
FALSE POSITIVE,K07713.01,,1.100,1.131,0.380,1.130
CONFIRMED,K01609.01,Kepler-906 b,2.030,0.971,-0.140,1.004
FALSE POSITIVE,K00606.01,,14.370,1.034,-0.060,1.042
FALSE POSITIVE,K02966.01,,1.890,0.940,-0.080,0.946
FALSE POSITIVE,K03923.01,,25.410,0.572,-0.580,0.557
FALSE POSITIVE,K01667.01,,120.020,3.899,-0.020,1.719
FALSE POSITIVE,K05115.01,,70.620,0.988,-0.240,1.054
FALSE POSITIVE,K06486.01,,68.690,1.457,0.120,1.242
FALSE POSITIVE,K06487.01,,12.440,0.671,-0.920,0.649
FALSE POSITIVE,K03688.01,,77.230,1.423,-0.360,1.055
FALSE POSITIVE,K03802.01,,34.340,1.078,-0.080,1.129
CANDIDATE,K00635.01,,2.520,1.085,0.000,1.049
FALSE POSITIVE,K03679.01,,67.940,1.000,0.000,1.000
FALSE POSITIVE,K00447.01,,30.330,0.870,-0.580,0.821
FALSE POSITIVE,K06490.01,,51.710,1.178,-0.200,1.077
FALSE POSITIVE,K00026.01,,12.360,1.441,-0.100,1.236
CONFIRMED,K00821.01,Kepler-692 b,3.380,0.999,0.080,0.934
FALSE POSITIVE,K06491.01,,20.880,0.881,-0.260,0.970
CONFIRMED,K02138.01,Kepler-1115 b,2.330,2.286,0.070,2.335
FALSE POSITIVE,K06492.01,,0.830,0.885,0.100,0.974
FALSE POSITIVE,K03570.01,,55.440,0.941,-1.540,0.760
FALSE POSITIVE,K00233.01,,5.310,0.793,-1.940,0.704
FALSE POSITIVE,K06493.01,,20.760,0.799,-0.120,0.786
FALSE POSITIVE,K04819.01,,0.840,0.781,-1.900,0.701
FALSE POSITIVE,K04286.01,,23.810,0.787,-1.980,0.684
FALSE POSITIVE,K03579.01,,93.010,1.548,0.480,1.408
FALSE POSITIVE,K07555.01,,8.860,10.533,0.070,2.615
FALSE POSITIVE,K07714.01,,1.390,1.038,-0.060,1.100
FALSE POSITIVE,K01544.01,,49.860,1.060,-0.060,1.091
FALSE POSITIVE,K02041.01,,2.630,2.099,-0.460,1.231
FALSE POSITIVE,K06496.01,,5.860,7.342,-0.500,2.233
FALSE POSITIVE,K06498.01,,36.250,0.888,-0.460,0.867
FALSE POSITIVE,K08252.01,,0.590,1.076,-0.040,1.130
FALSE POSITIVE,K06499.01,,95.860,3.837,-0.160,1.757
FALSE POSITIVE,K04280.01,,1.580,1.114,0.080,1.084
CANDIDATE,K05117.01,,1.950,0.796,-0.160,0.892
CANDIDATE,K01573.01,,4.220,0.921,-0.260,1.003
CANDIDATE,K01573.02,,1.380,0.921,-0.260,1.003
FALSE POSITIVE,K06501.01,,1.940,2.412,-0.620,1.122
CANDIDATE,K04546.01,,72.360,3.147,0.140,1.566
FALSE POSITIVE,K06124.01,,90.570,2.168,0.070,2.057
FALSE POSITIVE,K00406.01,,929.360,1.143,0.260,1.152
FALSE POSITIVE,K04080.01,,1.060,0.881,-0.060,0.979
FALSE POSITIVE,K06502.01,,64.990,1.348,0.220,0.944
FALSE POSITIVE,K06503.01,,3.270,1.523,0.260,1.338
FALSE POSITIVE,K03718.01,,9.140,0.947,0.440,0.855
FALSE POSITIVE,K06504.01,,32.580,0.454,-1.320,0.466
CONFIRMED,K02437.01,Kepler-1238 b,1.930,1.417,0.160,1.230
FALSE POSITIVE,K05998.01,,90.120,1.440,-0.340,1.013
FALSE POSITIVE,K05121.01,,2.040,1.498,0.100,1.080
FALSE POSITIVE,K02546.01,,1.130,1.076,-0.100,1.126
CANDIDATE,K01597.01,,2.440,1.276,0.210,1.334
FALSE POSITIVE,K06125.01,,66.200,1.257,-0.600,0.891
CANDIDATE,K03065.01,,1.000,0.843,-0.520,0.824
FALSE POSITIVE,K04354.01,,18.360,1.077,-0.100,1.029
FALSE POSITIVE,K02795.01,,2.700,1.100,0.070,1.188
FALSE POSITIVE,K04085.01,,36.840,0.989,-0.100,0.927
CANDIDATE,K02462.01,,1.750,1.963,0.040,1.187
FALSE POSITIVE,K06507.01,,,,,
FALSE POSITIVE,K00822.01,,10.340,0.776,-0.400,0.852
FALSE POSITIVE,K04211.01,,1.340,0.867,-0.240,0.958
FALSE POSITIVE,K04211.02,,12.630,0.867,-0.240,0.958
FALSE POSITIVE,K06508.01,,12.600,3.137,-0.360,1.479
FALSE POSITIVE,K02438.01,,1.800,0.816,0.000,0.901
FALSE POSITIVE,K06509.01,,1.760,2.679,0.070,2.441
CONFIRMED,K01843.01,Kepler-974 b,1.570,0.522,0.260,0.555
CANDIDATE,K01843.02,,0.860,0.522,0.260,0.555
FALSE POSITIVE,K06510.01,,46.550,0.718,-0.500,0.811
FALSE POSITIVE,K06512.01,,0.480,1.052,-0.200,1.060
CONFIRMED,K04202.01,Kepler-1567 b,2.530,0.903,-0.200,0.944
CONFIRMED,K00161.01,Kepler-475 b,2.680,0.791,0.300,0.878
CONFIRMED,K04127.01,Kepler-1556 b,1.670,0.878,0.120,0.972
CONFIRMED,K00282.01,Kepler-130 c,2.980,1.137,-0.160,0.950
CONFIRMED,K00282.02,Kepler-130 b,1.020,1.137,-0.160,0.950
CONFIRMED,K00282.03,Kepler-130 d,1.850,1.137,-0.160,0.950
CONFIRMED,K01801.01,Kepler-955 b,3.110,0.860,-0.120,0.802
FALSE POSITIVE,K00636.01,,55.200,2.396,0.210,1.701
FALSE POSITIVE,K02973.01,,1.660,1.072,-0.120,1.057
CANDIDATE,K07715.01,,1.120,0.884,-0.380,0.954
FALSE POSITIVE,K06515.01,,41.680,0.945,-0.200,1.019
CANDIDATE,K03045.01,,2.560,0.996,-0.100,1.070
FALSE POSITIVE,K05124.01,,11.670,0.966,0.100,0.846
CONFIRMED,K00123.01,Kepler-109 b,2.540,1.302,-0.080,1.009
CONFIRMED,K00123.02,Kepler-109 c,2.480,1.302,-0.080,1.009
CANDIDATE,K04320.01,,1.270,1.306,0.140,0.923
FALSE POSITIVE,K06518.01,,65.500,1.170,-0.380,1.041
CANDIDATE,K02607.01,,2.070,1.193,0.100,0.925
CANDIDATE,K04331.01,,1.450,1.732,-0.220,1.333
CONFIRMED,K03093.01,Kepler-1424 b,1.740,1.122,0.000,0.977
FALSE POSITIVE,K04244.01,,34.840,0.639,-0.960,0.627
FALSE POSITIVE,K02767.01,,1.080,1.132,0.240,0.998
CANDIDATE,K07716.01,,1.270,0.718,-0.680,0.806
CANDIDATE,K02435.01,,2.600,0.816,-0.400,0.884
CANDIDATE,K08253.01,,0.950,0.911,0.240,1.005
FALSE POSITIVE,K00637.01,,7.370,0.512,-1.580,0.526
FALSE POSITIVE,K01668.01,,26.090,0.867,-0.400,0.950
FALSE POSITIVE,K03660.01,,38.790,0.804,-0.300,0.897
CANDIDATE,K02878.01,,1.130,0.838,0.140,0.795
CANDIDATE,K01924.01,,1.350,2.377,0.160,1.339
FALSE POSITIVE,K02955.01,,1.300,1.092,0.070,1.180
FALSE POSITIVE,K01777.01,,28.980,0.719,-0.540,0.786
FALSE POSITIVE,K06521.01,,0.580,1.455,-0.380,1.144
FALSE POSITIVE,K06522.01,,18.800,1.036,-0.320,1.012
FALSE POSITIVE,K04043.01,,34.690,1.623,-0.100,1.365
FALSE POSITIVE,K03571.01,,92.500,1.279,-0.400,1.055
FALSE POSITIVE,K05127.01,,44.010,0.884,-1.560,0.784
FALSE POSITIVE,K06523.01,,3.620,1.264,-0.260,1.173
CONFIRMED,K00638.01,Kepler-199 b,2.900,0.882,-0.040,0.980
CONFIRMED,K00638.02,Kepler-199 c,3.510,0.882,-0.040,0.980
FALSE POSITIVE,K06524.01,,47.260,0.967,-0.160,0.936
FALSE POSITIVE,K04789.01,,1.020,0.932,-0.320,0.976
CONFIRMED,K00639.01,Kepler-631 b,2.890,1.352,0.340,1.247
FALSE POSITIVE,K07717.01,,30.940,0.991,-0.380,0.848
FALSE POSITIVE,K06126.01,,67.910,2.641,-0.500,1.291
CONFIRMED,K00640.01,Kepler-632 b,2.430,0.853,0.210,0.928
FALSE POSITIVE,K00552.01,,35.240,0.987,-0.480,0.948
FALSE POSITIVE,K03099.01,,1.450,0.652,0.040,0.642
CANDIDATE,K01822.01,,4.370,1.737,0.300,1.099
FALSE POSITIVE,K06528.01,,,,,
CANDIDATE,K02241.01,,2.310,1.103,0.100,1.162
CANDIDATE,K04428.01,,1.280,0.800,-0.400,0.882
FALSE POSITIVE,K06529.01,,,,,
FALSE POSITIVE,K07718.01,,1.990,1.000,0.000,1.000
CONFIRMED,K02698.01,Kepler-1316 b,3.390,1.159,0.000,0.988
FALSE POSITIVE,K08098.01,,46.590,0.924,-0.220,0.962
CANDIDATE,K04208.01,,1.230,0.731,0.260,0.723
FALSE POSITIVE,K00140.01,,6.850,1.895,0.070,2.219
FALSE POSITIVE,K03707.01,,22.980,1.126,-0.260,0.915
FALSE POSITIVE,K05128.01,,32.860,1.333,-0.040,1.168
FALSE POSITIVE,K03583.01,,101.130,2.017,-0.080,1.665
FALSE POSITIVE,K03325.01,,35.310,1.024,-0.120,1.086
CANDIDATE,K00641.01,,2.730,0.652,0.300,0.671
CANDIDATE,K05129.01,,124.420,150.091,0.070,3.686
CONFIRMED,K00824.01,Kepler-693 b,11.010,0.833,0.160,0.793
FALSE POSITIVE,K06531.01,,2.490,1.000,0.000,1.000
FALSE POSITIVE,K07719.01,,3.240,2.380,-0.560,0.825
CANDIDATE,K06532.01,,1.360,0.989,0.000,0.945
FALSE POSITIVE,K06533.01,,9.080,1.534,,1.535
FALSE POSITIVE,K06534.01,,1.950,2.211,0.210,2.095
FALSE POSITIVE,K05131.01,,17.470,1.427,-0.200,1.251
CANDIDATE,K02532.01,,2.270,0.826,0.240,0.927
FALSE POSITIVE,K06535.01,,1.350,3.385,0.020,2.086
CONFIRMED,K02563.01,Kepler-1279 b,1.340,1.121,-0.240,1.046
CANDIDATE,K02563.02,,0.810,1.121,-0.240,1.046
CONFIRMED,K02708.01,Kepler-1320 b,1.520,0.704,0.070,0.793
CONFIRMED,K01603.01,Kepler-904 b,1.310,0.989,-0.200,1.058
CONFIRMED,K04246.01,Kepler-1576 b,1.190,1.227,0.120,1.044
CANDIDATE,K04246.02,,1.120,1.227,0.120,1.044
CANDIDATE,K05132.01,,58.370,5.132,0.340,1.734
FALSE POSITIVE,K06536.01,,90.320,1.022,-0.220,1.013
FALSE POSITIVE,K03638.01,,533.080,1.416,-0.300,1.185
FALSE POSITIVE,K00642.01,,1.260,0.876,-0.300,0.958
CONFIRMED,K01669.01,Kepler-924 b,3.380,1.614,0.280,1.358
CONFIRMED,K01564.01,Kepler-891 b,5.820,1.000,0.210,1.114
FALSE POSITIVE,K01670.01,,2.030,1.093,-0.080,1.140
CONFIRMED,K02719.01,Kepler-1324 b,1.930,0.823,0.320,0.796
CANDIDATE,K02719.02,,1.500,0.823,0.320,0.796
FALSE POSITIVE,K07720.01,,1.570,1.550,-0.180,1.107
CONFIRMED,K02693.01,Kepler-398 b,1.000,0.635,-0.080,0.698
CONFIRMED,K02693.02,Kepler-398 c,0.990,0.635,-0.080,0.698
CONFIRMED,K02693.03,Kepler-398 d,1.010,0.635,-0.080,0.698
FALSE POSITIVE,K03492.01,,1.500,1.392,0.260,1.183
FALSE POSITIVE,K03637.01,,173.180,3.484,-0.240,0.883
FALSE POSITIVE,K06537.01,,97.230,3.484,-0.240,0.883
FALSE POSITIVE,K01580.01,,3.180,1.131,0.210,1.219
CANDIDATE,K06538.01,,1.450,1.032,-0.120,1.035
CANDIDATE,K03323.01,,2.060,1.373,0.160,0.973
CANDIDATE,K01671.01,,0.970,1.259,0.020,1.026
FALSE POSITIVE,K03940.01,,73.150,5.855,-0.640,0.824
CANDIDATE,K02695.01,,20.230,0.840,-0.040,0.782
CANDIDATE,K04178.01,,1.720,1.136,-0.300,1.157
FALSE POSITIVE,K05138.01,,34.800,0.985,-0.220,0.947
FALSE POSITIVE,K06540.01,,5.020,4.529,-0.080,1.106
FALSE POSITIVE,K03159.01,,1.170,3.050,0.560,2.290
FALSE POSITIVE,K04044.01,,1.190,1.157,-0.180,0.934
FALSE POSITIVE,K07721.01,,1.700,1.143,0.460,1.195
CONFIRMED,K01932.01,Kepler-340 c,3.360,1.846,-0.020,1.421
CONFIRMED,K01932.02,Kepler-340 b,2.490,1.846,-0.020,1.421
FALSE POSITIVE,K03779.01,,215.890,0.813,-0.180,0.909
CANDIDATE,K04912.01,,1.350,1.756,0.160,1.320
CONFIRMED,K02883.01,Kepler-1378 b,2.100,0.659,-0.060,0.648
FALSE POSITIVE,K01568.01,,1.510,0.795,-0.340,0.883
CANDIDATE,K02158.01,,2.820,2.506,0.080,1.330
CANDIDATE,K02158.02,,2.090,2.506,0.080,1.330
FALSE POSITIVE,K06541.01,,888.700,17.032,-0.420,1.691
FALSE POSITIVE,K06541.02,,417.010,17.032,-0.420,1.691
FALSE POSITIVE,K03273.01,,3.110,0.639,-0.680,0.704
FALSE POSITIVE,K02495.01,,4.910,3.204,-0.220,1.469
CANDIDATE,K03474.01,,1.830,1.294,0.160,1.109
CONFIRMED,K03468.01,Kepler-1508 b,3.220,2.437,0.140,1.338
FALSE POSITIVE,K01941.01,,1.360,0.970,-0.280,1.024
FALSE POSITIVE,K03903.01,,32.670,0.986,0.070,1.093
FALSE POSITIVE,K03740.01,,112.770,0.999,0.020,1.080
FALSE POSITIVE,K03866.01,,32.120,0.750,-0.220,0.840
FALSE POSITIVE,K06543.01,,77.400,1.417,-0.140,1.157
FALSE POSITIVE,K04151.01,,1.190,0.863,-0.120,0.959
FALSE POSITIVE,K01592.01,,23.610,0.910,-0.380,0.773
FALSE POSITIVE,K03155.01,,59.070,1.870,0.070,2.128
FALSE POSITIVE,K03036.01,,3.480,0.826,-0.040,0.926
FALSE POSITIVE,K06544.01,,319.520,7.023,0.070,2.233
FALSE POSITIVE,K00407.01,,7.050,0.906,-0.320,0.942
CONFIRMED,K01563.01,Kepler-305 b,3.240,0.787,0.040,0.823
CONFIRMED,K01563.02,Kepler-305 c,3.210,0.787,0.040,0.823
CANDIDATE,K01563.03,,1.700,0.787,0.040,0.823
CONFIRMED,K01563.04,Kepler-305 d,2.560,0.787,0.040,0.823
CONFIRMED,K00825.01,Kepler-237 c,2.110,0.732,-0.080,0.733
CONFIRMED,K00825.02,Kepler-237 b,1.460,0.732,-0.080,0.733
CANDIDATE,K04713.01,,1.360,1.000,0.000,1.000
FALSE POSITIVE,K05999.01,,24.910,0.710,-0.640,0.675
FALSE POSITIVE,K06545.01,,23.480,0.543,-1.420,0.552
CANDIDATE,K03368.01,,1.450,0.945,-0.120,1.000
CANDIDATE,K06546.01,,1.030,1.029,-0.160,1.036
FALSE POSITIVE,K05145.01,,1447.130,1.501,-0.240,1.255
FALSE POSITIVE,K03563.01,,41.710,0.673,-0.540,0.744
FALSE POSITIVE,K06547.01,,75.860,0.987,-0.180,0.859
FALSE POSITIVE,K07557.01,,20.120,1.352,,1.003
FALSE POSITIVE,K06548.01,,45.910,0.892,-0.340,0.773
CONFIRMED,K01672.01,Kepler-925 b,2.310,0.691,-0.060,0.683
FALSE POSITIVE,K01543.01,,37.090,2.318,-0.060,1.258
FALSE POSITIVE,K01673.01,,1.530,0.997,-0.240,0.981
CONFIRMED,K02711.01,Kepler-400 b,1.620,1.111,0.000,1.004
CONFIRMED,K02711.02,Kepler-400 c,1.430,1.111,0.000,1.004
FALSE POSITIVE,K06550.01,,2.180,3.871,-0.660,1.058
CONFIRMED,K00826.01,Kepler-694 b,2.440,0.849,-0.180,0.939
FALSE POSITIVE,K07722.01,,1.110,1.715,-0.080,1.219
FALSE POSITIVE,K07723.01,,1.700,1.312,0.040,1.109
CONFIRMED,K03274.01,Kepler-1451 b,2.240,0.878,-0.100,0.975
CONFIRMED,K04411.01,Kepler-1602 b,1.810,1.873,-0.080,1.324
CANDIDATE,K01545.01,,12.620,0.958,-0.280,1.029
FALSE POSITIVE,K01545.02,,,,,
FALSE POSITIVE,K00502.01,,1.380,0.867,-0.380,0.760
FALSE POSITIVE,K04736.01,,29.260,1.098,0.120,1.126
FALSE POSITIVE,K06551.01,,1.060,1.046,0.070,1.143
CANDIDATE,K01547.01,,13.720,1.018,-0.060,1.086
FALSE POSITIVE,K00827.01,,3.860,0.997,-0.080,1.072
CANDIDATE,K05149.01,,1.330,0.829,-0.220,0.923
FALSE POSITIVE,K06552.01,,104.570,1.914,0.070,1.841
FALSE POSITIVE,K06553.01,,56.110,1.193,0.070,1.260
FALSE POSITIVE,K06554.01,,29.190,0.786,-0.200,0.741
FALSE POSITIVE,K00828.01,,30.260,0.939,-0.040,1.030
FALSE POSITIVE,K06555.01,,86.120,1.482,-0.200,1.223
FALSE POSITIVE,K02136.01,,5.070,3.279,-0.120,1.550
FALSE POSITIVE,K04010.01,,2.430,2.237,-0.400,1.392
FALSE POSITIVE,K08099.01,,3.530,1.719,-0.500,0.975
CONFIRMED,K01593.01,Kepler-308 b,2.080,0.914,-0.100,1.000
CONFIRMED,K01593.02,Kepler-308 c,2.140,0.914,-0.100,1.000
CANDIDATE,K05150.01,,2.190,1.703,0.260,0.950
FALSE POSITIVE,K06556.01,,571.070,4.055,-0.340,1.620
CANDIDATE,K03463.01,,1.420,1.061,-0.180,0.995
CANDIDATE,K06557.01,,1.040,1.225,-0.200,1.126
CANDIDATE,K00130.01,,21.950,1.786,-0.140,1.140
FALSE POSITIVE,K06558.01,,0.870,0.698,-0.400,0.677
CONFIRMED,K01576.01,Kepler-307 b,3.010,0.987,0.200,0.947
CONFIRMED,K01576.02,Kepler-307 c,2.710,0.987,0.200,0.947
FALSE POSITIVE,K06559.01,,46.590,0.625,-0.620,0.612
FALSE POSITIVE,K07724.01,,2.030,0.772,-0.020,0.867
CONFIRMED,K01589.01,Kepler-84 b,2.860,1.131,-0.180,0.987
CONFIRMED,K01589.02,Kepler-84 c,3.150,1.131,-0.180,0.987
CONFIRMED,K01589.03,Kepler-84 e,2.560,1.131,-0.180,0.987
CONFIRMED,K01589.04,Kepler-84 d,1.600,1.131,-0.180,0.987
CONFIRMED,K01589.05,Kepler-84 f,2.290,1.131,-0.180,0.987
FALSE POSITIVE,K01755.01,,4.790,1.310,0.070,1.354
FALSE POSITIVE,K02746.01,,45.240,1.267,-0.220,1.291
FALSE POSITIVE,K03275.01,,30.320,0.790,-0.160,0.810
FALSE POSITIVE,K00553.01,,1.780,1.001,-0.040,0.908
FALSE POSITIVE,K03982.01,,40.600,1.000,0.000,1.000
FALSE POSITIVE,K08100.01,,2.110,0.933,-0.080,0.926
FALSE POSITIVE,K03239.01,,0.980,1.433,-0.060,0.964
FALSE POSITIVE,K07725.01,,3.500,0.881,-0.260,0.970
FALSE POSITIVE,K03820.01,,5.040,0.811,-0.500,0.910
FALSE POSITIVE,K03843.01,,4.980,0.803,-0.200,0.880
FALSE POSITIVE,K03806.01,,4.490,0.811,-0.460,0.762
FALSE POSITIVE,K04158.01,,0.900,0.998,-0.060,0.943
FALSE POSITIVE,K01991.01,,39.490,1.107,0.210,1.200
FALSE POSITIVE,K06561.01,,43.230,1.990,0.120,1.431
FALSE POSITIVE,K02804.01,,1.010,1.070,0.160,1.070
FALSE POSITIVE,K02558.01,,31.180,1.025,-0.020,1.095
FALSE POSITIVE,K03228.01,,1.140,2.022,0.070,2.213
CANDIDATE,K04750.01,,1.930,0.840,-0.120,0.937
FALSE POSITIVE,K02724.01,,29.280,1.602,-0.180,1.277
FALSE POSITIVE,K03887.01,,27.250,1.053,-0.200,1.001
CANDIDATE,K04409.01,,1.060,1.291,0.140,1.049
FALSE POSITIVE,K01562.01,,25.480,0.904,-0.220,0.991
CANDIDATE,K01562.02,,2.250,0.904,-0.220,0.991
FALSE POSITIVE,K02718.01,,131.400,78.869,-0.220,1.772
FALSE POSITIVE,K05152.01,,37.610,9.214,0.140,2.138
FALSE POSITIVE,K06563.01,,22.460,3.956,-0.300,1.098
FALSE POSITIVE,K00643.01,,1.470,0.746,-0.260,0.791
FALSE POSITIVE,K06564.01,,139.590,2.263,-0.400,1.279
CONFIRMED,K02440.01,Kepler-1240 b,1.320,1.111,0.100,0.969
CONFIRMED,K00503.01,Kepler-580 b,2.280,0.615,-0.100,0.626
CONFIRMED,K04199.01,Kepler-1566 b,0.820,0.837,0.100,0.811
CANDIDATE,K02666.01,,3.470,0.783,-0.480,0.814
CANDIDATE,K02297.01,,1.380,1.129,-0.080,1.021
FALSE POSITIVE,K06565.01,,38.820,0.854,-0.440,0.788
FALSE POSITIVE,K06566.01,,44.910,0.971,-0.100,0.912
FALSE POSITIVE,K06567.01,,99.660,2.275,-0.040,1.226
CONFIRMED,K02555.01,Kepler-1276 b,1.090,1.169,-0.060,1.037
FALSE POSITIVE,K04008.01,,27.740,0.936,-0.460,0.802
CONFIRMED,K00408.01,Kepler-150 c,3.420,0.914,-0.020,0.899
CONFIRMED,K00408.02,Kepler-150 d,2.740,0.914,-0.020,0.899
CONFIRMED,K00408.03,Kepler-150 e,3.180,0.914,-0.020,0.899
CONFIRMED,K00408.04,Kepler-150 b,1.210,0.914,-0.020,0.899
FALSE POSITIVE,K00408.05,,2.050,0.914,-0.020,0.899
CANDIDATE,K04467.01,,1.420,0.819,0.000,0.919
CANDIDATE,K06568.01,,0.650,0.515,-0.200,0.543
FALSE POSITIVE,K00644.01,,17.090,1.096,-0.200,0.885
FALSE POSITIVE,K01674.01,,13.550,0.971,-0.940,0.753
CANDIDATE,K02219.01,,1.230,0.716,0.040,0.807
CONFIRMED,K00188.01,Kepler-425 b,10.070,0.848,0.240,0.883
CONFIRMED,K00829.01,Kepler-53 b,3.120,1.053,0.160,1.026
CONFIRMED,K00829.02,Kepler-53 d,2.760,1.053,0.160,1.026
CONFIRMED,K00829.03,Kepler-53 c,4.020,1.053,0.160,1.026
CONFIRMED,K00830.01,Kepler-428 b,11.580,0.793,0.080,0.855
